time,pressure,altitude,velocity,acc_x,acc_y,acc_z,acc_tot
-4.260,101.9563,0.740,0.000,-31.129,-14.408,-4.780,34.633
-4.240,101.9620,0.197,0.000,-31.307,-13.875,-4.780,34.576
-4.220,101.9620,-0.409,0.000,-30.951,-14.231,-4.780,34.400
-4.200,101.9584,-0.414,0.000,-30.951,-13.875,-4.528,34.220
-4.180,101.9579,-0.399,0.000,-31.307,-13.875,-4.780,34.576
-4.160,101.9583,-0.420,0.000,-31.129,-13.697,-4.780,34.344
-4.140,101.9590,-0.437,0.000,-31.307,-13.519,-4.780,34.435
-4.120,101.9594,-0.360,0.000,-31.129,-13.697,-4.780,34.344
-4.100,101.9558,0.287,0.000,-31.129,-14.053,-4.780,34.487
-4.080,101.9583,0.380,0.000,-31.129,-14.053,-4.528,34.453
-4.060,101.9553,0.792,0.000,-31.307,-13.875,-4.780,34.576
-4.040,101.9589,0.692,0.000,-31.307,-13.875,-4.780,34.576
-4.020,101.9584,1.028,0.000,-31.307,-13.875,-4.780,34.576
-4.000,101.9548,1.373,0.000,-30.951,-13.875,-4.780,34.254
-3.980,101.9609,0.821,0.000,-31.129,-14.053,-4.780,34.487
-3.960,101.9568,0.640,0.000,-31.129,-14.053,-4.780,34.487
-3.940,101.9579,0.152,0.000,-30.774,-14.053,-4.780,34.166
-3.920,101.9577,0.276,0.000,-31.129,-14.053,-4.780,34.487
-3.900,101.9615,-0.069,0.000,-31.129,-13.697,-4.780,34.344
-3.880,101.9590,-0.511,0.000,-31.307,-13.875,-4.780,34.576
-3.860,101.9631,-0.930,0.000,-31.129,-13.697,-4.780,34.344
-3.840,101.9574,-0.469,0.000,-30.774,-14.053,-4.780,34.166
-3.820,101.9599,-0.423,0.000,-31.307,-13.875,-4.780,34.576
-3.800,101.9595,-0.403,0.000,-31.129,-13.697,-4.780,34.344
-3.780,101.9594,-0.144,0.000,-31.307,-13.875,-4.780,34.576
-3.760,101.9579,-0.140,0.000,-31.485,-13.697,-4.780,34.666
-3.740,101.9589,-0.131,0.000,-30.951,-13.519,-4.780,34.112
-3.720,101.9599,-0.159,0.000,-30.951,-13.519,-4.780,34.112
-3.700,101.9564,-0.094,0.000,-31.307,-13.875,-4.780,34.576
-3.680,101.9584,0.150,0.000,-30.951,-13.875,-4.780,34.254
-3.660,101.9619,-0.564,0.000,-31.307,-13.875,-4.528,34.542
-3.640,101.9619,-0.968,0.000,-31.129,-13.697,-4.780,34.344
-3.620,101.9603,-0.898,0.000,-31.307,-13.875,-4.780,34.576
-3.600,101.9563,-0.146,0.000,-31.129,-13.697,-4.780,34.344
-3.580,101.9589,-0.142,0.000,-31.307,-13.875,-4.780,34.576
-3.560,101.9620,-0.567,0.000,-30.951,-13.519,-4.780,34.112
-3.540,101.9574,-0.168,0.000,-30.774,-14.053,-4.528,34.132
-3.520,101.9582,0.181,0.000,-30.951,-13.875,-4.780,34.254
-3.500,101.9584,0.068,0.000,-30.774,-13.697,-4.780,34.021
-3.480,101.9578,0.133,0.000,-31.129,-14.053,-4.780,34.487
-3.460,101.9583,0.383,0.000,-30.951,-13.875,-4.780,34.254
-3.440,101.9584,0.248,0.000,-30.951,-13.875,-4.780,34.254
-3.420,101.9599,0.121,0.000,-30.951,-13.875,-4.780,34.254
-3.400,101.9599,0.169,0.000,-31.129,-13.697,-4.780,34.344
-3.380,101.9563,0.632,0.000,-31.307,-13.875,-4.780,34.576
-3.360,101.9636,0.238,0.000,-31.129,-14.053,-4.780,34.487
-3.340,101.9594,0.335,0.000,-30.951,-13.875,-4.780,34.254
-3.320,101.9580,0.129,0.000,-30.951,-13.875,-4.780,34.254
-3.300,101.9563,0.460,0.000,-30.951,-13.875,-4.780,34.254
-3.280,101.9568,0.649,0.000,-30.951,-13.875,-4.780,34.254
-3.260,101.9584,0.540,0.000,-31.129,-13.697,-4.780,34.344
-3.240,101.9599,0.595,0.000,-31.307,-13.875,-4.780,34.576
-3.220,101.9584,0.034,0.000,-30.774,-13.697,-4.780,34.021
-3.200,101.9589,-0.135,0.000,-31.129,-14.053,-4.780,34.487
-3.180,101.9599,-0.195,0.000,-30.951,-13.875,-4.780,34.254
-3.160,101.9589,-0.351,0.000,-31.307,-13.875,-4.780,34.576
-3.140,101.9563,0.018,0.000,-30.774,-14.053,-4.780,34.166
-3.120,101.9630,-0.527,0.000,-31.307,-13.875,-4.780,34.576
-3.100,101.9634,-0.847,0.000,-30.951,-13.875,-4.780,34.254
-3.080,101.9574,-0.497,0.000,-30.951,-13.875,-4.780,34.254
-3.060,101.9604,-0.831,0.000,-30.774,-14.053,-4.528,34.132
-3.040,101.9584,-0.973,0.000,-30.951,-13.875,-4.780,34.254
-3.020,101.9574,-0.541,0.000,-30.951,-14.231,-4.780,34.400
-3.000,101.9614,-0.964,0.000,-31.129,-13.697,-4.780,34.344
-2.980,101.9589,-0.774,0.000,-30.951,-13.875,-4.780,34.254
-2.960,101.9609,-0.532,0.000,-31.129,-13.697,-4.780,34.344
-2.940,101.9594,-0.556,0.000,-31.129,-13.697,-4.780,34.344
-2.920,101.9594,-0.316,0.000,-31.129,-14.053,-4.780,34.487
-2.900,101.9619,-0.284,0.000,-31.307,-13.875,-4.780,34.576
